datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond
2017-03-19 0:00,2.196769345,0.617697917,69.01666667,242.0624688,96699.24417,6.94E-09
2017-03-20 0:00,1.873365885,0.4429375,61.425,195.0688646,96474.09229,0
2017-03-21 0:00,1.571509673,4.449989583,55.12604167,242.486125,95867.74146,0.00E+00
2017-03-22 0:00,5.030551525,-4.725010417,49.01770833,263.3213021,96641.99667,0.00E+00
2017-03-23 0:00,1.936081473,-5.507083333,46.56875,270.7197188,97709.02823,0.00E+00
2017-03-24 0:00,0.820846726,1.593895833,65.13854167,102.7228333,96966.73021,4.28E-08
2017-03-25 0:00,0.97081436,6.001520833,86.48958333,95.39753125,96798.53646,3.13E-08
2017-03-26 0:00,2.216672433,0.36378125,96.21041667,36.91936458,97298.27052,0.00E+00
2017-03-27 0:00,0.70247247,4.198479167,95.37395833,142.1001042,96356.08323,5.67E-08
2017-03-28 0:00,0.463610863,4.248416667,102.4114583,35.40344792,95992.38365,1.37E-07
2017-03-29 0:00,3.829062314,4.167125,67.55416667,260.4219896,96615.5776,0.00E+00
2017-03-30 0:00,0.923083519,2.338927083,59.37708333,150.5547813,96781.84385,0.00E+00
2017-03-31 0:00,2.394245536,1.051875,97.271875,23.97039583,95909.04354,4.31E-07
2017-04-01 0:00,2.973043609,1.867168421,89.78947368,106.7011354,95804.45074,2.20E-08
2017-04-02 0:00,2.4734641,5.700020833,63.13958333,258.4187604,96578.31156,0.00E+00
2017-04-03 0:00,0.826264695,8.60196875,63.484375,192.2936563,96267.90219,2.31E-09
2017-04-04 0:00,1.317055246,9.638625,92.48020833,78.54219792,95010.9724,1.15E-07
2017-04-05 0:00,2.239348958,10.05288542,64.665625,209.3338125,95835.34802,0.00E+00
2017-04-06 0:00,2.788460007,4.4094375,94.9875,17.79001042,94679.29146,3.90E-07
2017-04-07 0:00,3.521510975,2.147,82.525,116.9014583,94277.0349,1.97E-08
2017-04-08 0:00,4.015108631,3.196291667,53.315625,287.92425,95676.49406,0.00E+00
2017-04-09 0:00,1.131211682,9.256604167,39.67916667,292.2618125,96596.26115,0.00E+00
2017-04-10 0:00,1.17063244,16.82694792,38.26145833,251.29875,96657.08094,0.00E+00
2017-04-11 0:00,1.458310826,18.8521875,47.475,261.4894583,96618.76073,0.00E+00
2017-04-12 0:00,1.681924293,14.02340625,72.040625,166.7993333,96830.23875,2.55E-08
2017-04-13 0:00,2.821911644,6.704760417,58.18541667,232.1914792,97389.04156,0
2017-04-14 0:00,1.141567522,7.97109375,52.63125,290.7354167,97344.72802,0.00E+00
2017-04-15 0:00,2.478583147,12.79634375,56.00208333,254.1836667,96961.63885,0.00E+00
2017-04-16 0:00,2.945343564,18.36052083,67.71875,240.3463438,96037.90219,8.91E-08
2017-04-17 0:00,2.92710119,13.855,60.60625,217.9973542,96287.45729,1.16E-09
2017-04-18 0:00,1.725261347,9.594895833,55.14375,314.4885208,97290.98271,0.00E+00
2017-04-19 0:00,2.839136161,7.53709375,74.41458333,139.4687083,97321.13854,4.17E-08
2017-04-20 0:00,1.28978125,12.14739583,87.66145833,129.8325208,96490.4949,4.75E-08
2017-04-21 0:00,2.069363467,10.28,96.14270833,79.31534375,95976.60344,1.53E-07
2017-04-22 0:00,2.487869792,7.809458333,77.834375,79.7706875,96134.08396,8.10E-09
2017-04-23 0:00,1.556213728,9.9690625,56.54791667,319.8863021,96495.57938,0
2017-04-24 0:00,1.362166109,11.79516667,55.5625,150.2016354,96646.16438,0.00E+00
2017-04-25 0:00,2.586083519,9.234666667,86.36979167,46.86552083,96344.53104,4.75E-08
2017-04-26 0:00,1.496305432,12.36458333,93.43229167,115.69,95665.31948,0.00E+00
2017-04-27 0:00,1.932021205,16.10291667,86.57395833,162.8662188,95820.28979,0.00E+00
2017-04-28 0:00,1.727406994,19.06895833,60.28020833,297.4253854,96228.75875,0.00E+00
2017-04-29 0:00,2.23986942,16.645,76.225,148.2627813,96498.25354,1.04E-08
